t, X(t)
4.8366, 0.6239
4.8429, 0.6301
4.8492, 0.6364
4.8555, 0.6426
4.8618, 0.6488
4.8681, 0.6550
4.8743, 0.6612
4.8806, 0.6675
4.8869, 0.6736
4.8932, 0.6798
4.8995, 0.6860
4.9058, 0.6922
4.9121, 0.6984
4.9184, 0.7045
4.9247, 0.7107
4.9309, 0.7168
4.9372, 0.7230
4.9435, 0.7291
4.9498, 0.7352
4.9561, 0.7413
4.9624, 0.7474
4.9687, 0.7535
4.9750, 0.7596
4.9813, 0.7656
4.9876, 0.7717
4.9938, 0.7778
5.0001, 0.7838
5.0064, 0.7898
5.0127, 0.7958
5.0190, 0.8018
5.0253, 0.8078
5.0316, 0.8138
5.0379, 0.8198
5.0442, 0.8257
5.0504, 0.8317
5.0567, 0.8376
5.0630, 0.8435
5.0693, 0.8494
5.0756, 0.8553
5.0819, 0.8612
5.0882, 0.8670
5.0945, 0.8729
5.1008, 0.8787
5.1071, 0.8845
5.1133, 0.8903
5.1196, 0.8961
5.1259, 0.9018
5.1322, 0.9076
5.1385, 0.9133
5.1448, 0.9191
5.1511, 0.9248
5.1574, 0.9304
5.1637, 0.9361
5.1699, 0.9418
5.1762, 0.9474
5.1825, 0.9530
5.1888, 0.9586
5.1951, 0.9642
5.2014, 0.9697
5.2077, 0.9753
5.2140, 0.9808
5.2203, 0.9863
5.2266, 0.9918
5.2328, 0.9973
5.2391, 1.0027
5.2454, 1.0081
5.2517, 1.0136
5.2580, 1.0189
5.2643, 1.0243
5.2706, 1.0297
5.2769, 1.0350
5.2832, 1.0403
5.2894, 1.0456
5.2957, 1.0508
5.3020, 1.0561
5.3083, 1.0613
5.3146, 1.0665
5.3209, 1.0716
5.3272, 1.0768
5.3335, 1.0819
5.3398, 1.0870
5.3461, 1.0921
5.3523, 1.0972
5.3586, 1.1022
5.3649, 1.1072
5.3712, 1.1122
5.3775, 1.1171
5.3838, 1.1221
5.3901, 1.1270
5.3964, 1.1319
5.4027, 1.1367
5.4089, 1.1416
5.4152, 1.1464
5.4215, 1.1512
5.4278, 1.1559
5.4341, 1.1607
5.4404, 1.1654
5.4467, 1.1701
5.4530, 1.1747
5.4593, 1.1793
5.4656, 1.1840
5.4718, 1.1885
5.4781, 1.1931
5.4844, 1.1976
5.4907, 1.2021
5.4970, 1.2066
5.5033, 1.2110
5.5096, 1.2154
5.5159, 1.2198
5.5222, 1.2241
5.5284, 1.2285
5.5347, 1.2327
5.5410, 1.2370
5.5473, 1.2412
5.5536, 1.2455
5.5599, 1.2496
5.5662, 1.2538
5.5725, 1.2579
5.5788, 1.2620
5.5851, 1.2660
5.5913, 1.2701
5.5976, 1.2741
5.6039, 1.2780
5.6102, 1.2820
5.6165, 1.2859
5.6228, 1.2898
5.6291, 1.2936
5.6354, 1.2974
5.6417, 1.3012
5.6479, 1.3049
5.6542, 1.3086
5.6605, 1.3123
5.6668, 1.3160
5.6731, 1.3196
5.6794, 1.3232
5.6857, 1.3267
5.6920, 1.3303
5.6983, 1.3338
5.7046, 1.3372
5.7108, 1.3406
5.7171, 1.3440
5.7234, 1.3474
5.7297, 1.3507
5.7360, 1.3540
5.7423, 1.3572
5.7486, 1.3605
5.7549, 1.3637
5.7612, 1.3668
5.7674, 1.3699
5.7737, 1.3730
5.7800, 1.3761
5.7863, 1.3791
5.7926, 1.3821
5.7989, 1.3850
5.8052, 1.3879
5.8115, 1.3908
5.8178, 1.3936
5.8241, 1.3964
5.8303, 1.3992
5.8366, 1.4019
5.8429, 1.4046
5.8492, 1.4073
5.8555, 1.4099
5.8618, 1.4125
5.8681, 1.4151
5.8744, 1.4176
5.8807, 1.4201
5.8869, 1.4225
5.8932, 1.4249
5.8995, 1.4273
5.9058, 1.4296
5.9121, 1.4319
5.9184, 1.4342
5.9247, 1.4364
5.9310, 1.4386
5.9373, 1.4408
5.9436, 1.4429
5.9498, 1.4450
5.9561, 1.4470
5.9624, 1.4490
5.9687, 1.4510
5.9750, 1.4529
5.9813, 1.4548
5.9876, 1.4566
5.9939, 1.4584
6.0002, 1.4602
6.0064, 1.4620
6.0127, 1.4637
6.0190, 1.4653
6.0253, 1.4669
6.0316, 1.4685
6.0379, 1.4701
6.0442, 1.4716
6.0505, 1.4730
6.0568, 1.4745
6.0631, 1.4759
6.0693, 1.4772
6.0756, 1.4785
6.0819, 1.4798
6.0882, 1.4811
6.0945, 1.4823
6.1008, 1.4834
6.1071, 1.4845
6.1134, 1.4856
6.1197, 1.4867
6.1259, 1.4877
6.1322, 1.4886
6.1385, 1.4896
6.1448, 1.4904
6.1511, 1.4913
6.1574, 1.4921
6.1637, 1.4929
6.1700, 1.4936
6.1763, 1.4943
6.1826, 1.4949
6.1888, 1.4956
6.1951, 1.4961
6.2014, 1.4967
6.2077, 1.4972
6.2140, 1.4976
6.2203, 1.4980
6.2266, 1.4984
6.2329, 1.4987
6.2392, 1.4990
6.2454, 1.4993
6.2517, 1.4995
6.2580, 1.4997
6.2643, 1.4998
6.2706, 1.4999
6.2769, 1.5000
6.2832, 1.5000
