t, X(t)
5.239132, 0.545170
5.245422, 0.564096
5.251711, 0.583532
5.258001, 0.603479
5.264290, 0.623937
5.270580, 0.644906
5.276869, 0.666389
5.283159, 0.688384
5.289448, 0.710892
5.295738, 0.733913
5.302027, 0.757448
5.308317, 0.781496
5.314606, 0.806058
5.320896, 0.831133
5.327185, 0.856720
5.333475, 0.882820
5.339764, 0.909433
5.346054, 0.936556
5.352343, 0.964190
5.358633, 0.992334
5.364922, 1.020988
5.371211, 1.050149
5.377501, 1.079818
5.383790, 1.109992
5.390080, 1.140671
5.396369, 1.171854
5.402659, 1.203538
5.408948, 1.235722
5.415238, 1.268405
5.421527, 1.301586
5.427817, 1.335261
5.434106, 1.369429
5.440396, 1.404088
5.446685, 1.439236
5.452975, 1.474871
5.459264, 1.510990
5.465554, 1.547592
5.471843, 1.584673
5.478133, 1.622230
5.484422, 1.660262
5.490711, 1.698765
5.497001, 1.737736
5.503290, 1.777173
5.509580, 1.817073
5.515869, 1.857431
5.522159, 1.898246
5.528448, 1.939513
5.534738, 1.981229
5.541027, 2.023391
5.547317, 2.065995
5.553606, 2.109037
5.559896, 2.152513
5.566185, 2.196420
5.572475, 2.240754
5.578764, 2.285510
5.585054, 2.330684
5.591343, 2.376272
5.597633, 2.422270
5.603922, 2.468673
5.610212, 2.515477
5.616501, 2.562676
5.622790, 2.610268
5.629080, 2.658246
5.635369, 2.706605
5.641659, 2.755342
5.647948, 2.804450
5.654238, 2.853925
5.660527, 2.903762
5.666817, 2.953955
5.673106, 3.004499
5.679396, 3.055388
5.685685, 3.106618
5.691975, 3.158182
5.698264, 3.210074
5.704554, 3.262290
5.710843, 3.314823
5.717133, 3.367668
5.723422, 3.420817
5.729712, 3.474267
5.736001, 3.528009
5.742290, 3.582039
5.748580, 3.636350
5.754869, 3.690935
5.761159, 3.745789
5.767448, 3.800905
5.773738, 3.856275
5.780027, 3.911895
5.786317, 3.967757
5.792606, 4.023854
5.798896, 4.080180
5.805185, 4.136728
5.811475, 4.193491
5.817764, 4.250462
5.824054, 4.307634
5.830343, 4.365000
5.836633, 4.422553
5.842922, 4.480285
5.849212, 4.538191
5.855501, 4.596261
5.861790, 4.654490
5.868080, 4.712869
5.874369, 4.771392
5.880659, 4.830050
5.886948, 4.888836
5.893238, 4.947743
5.899527, 5.006763
5.905817, 5.065888
5.912106, 5.125112
5.918396, 5.184425
5.924685, 5.243820
5.930975, 5.303289
5.937264, 5.362826
5.943554, 5.422420
5.949843, 5.482066
5.956133, 5.541754
5.962422, 5.601477
5.968712, 5.661227
